source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method
Engle_2024,GJ 433,GJ 433,7.464487584100665,2.2525404730498604,3.226061208125913,72.6,gyro_e23
Engle_2024,LP 263-64,LP 263-64,0.1682674061070467,0.0072028425892197,0.0075249552888225,2.06,gyro_e23
Engle_2024,1RXS J175537.7+485740,1RXS J175537.7+485740,0.1721868574986007,0.0073706183460498,0.0077002340142781,2.24,gyro_e23
Engle_2024,BD+20 2465 (AD Leo),BD+20 2465,0.1721868574986007,0.0073706183460498,0.0077002340142781,2.24,gyro_e23
Engle_2024,2MASS J16243140+4549570,2MASS J16243140+4549570,0.1745822152920503,0.0074731538609796,0.0078073549399134,2.36,gyro_e23
Engle_2024,LP 302-37,LP 302-37,0.1803017740859569,0.0077179848869365,0.0080631348630231,2.6,gyro_e23
Engle_2024,1RXS J031028.8+285952,1RXS J031028.8+285952,0.186637969083467,0.0079892115982619,0.0083464908923375,2.87,gyro_e23
Engle_2024,Ross 154 (GJ 729),Ross 154,0.186637969083467,0.0079892115982619,0.0083464908923375,2.87,gyro_e23
Engle_2024,LP 195-34,LP 195-34,0.1995262314968879,0.0085409056402641,0.0089228568128409,3.39,gyro_e23
Engle_2024,1RXS J222653.9+354610,1RXS J222653.9+354610,0.2037042077705718,0.0087197477947673,0.0091096968276993,3.55,gyro_e23
Engle_2024,2MASS J16182491+4437110,2MASS J16182491+4437110,0.2177709772353158,0.0093218889255869,0.0097387658418912,4.07,gyro_e23
Engle_2024,1RXS J174409.9+473444,1RXS J174409.9+473444,0.2290867652767773,0.0098062717417324,0.0102448103637614,4.45,gyro_e23
Engle_2024,UCAC4 610-011032,UCAC4 610-011032,0.2741574171927882,0.0123391163708897,0.0129206410096808,5.85,gyro_e23
Engle_2024,HAT 214-03527,HAT 214-03527,0.2999162518987651,0.013498454908107,0.0141346174888566,6.55,gyro_e23
Engle_2024,2MASS J22170696+3627164,2MASS J22170696+3627164,0.3198895109691398,0.0151000120063415,0.0158481032738148,7.04,gyro_e23
Engle_2024,CW UMa,CW UMa,0.3515604405282981,0.0165950013704704,0.0174171580418522,7.78,gyro_e23
Engle_2024,BL Lyn,BL Lyn,0.3548133892335754,0.0167485530275938,0.017578317020993,7.85,gyro_e23
Engle_2024,2MASS J08445708+4640261,2MASS J08445708+4640261,0.4017908108489399,0.0198465400088934,0.020877803416663,8.81,gyro_e23
Engle_2024,LP 197-37,LP 197-37,0.4315190768277652,0.0213149738411584,0.0224225398224379,9.36,gyro_e23
Engle_2024,G 176-13,G 176-13,0.516416369272071,0.0266375499036248,0.0280862835703502,10.75,gyro_e23
Engle_2024,HAT 170-05945,HAT 170-05945,0.5236004365857502,0.0270081151354141,0.0284770026950071,10.86,gyro_e23
Engle_2024,HAT 136-02868,HAT 136-02868,0.6067363295885054,0.0326198673811778,0.0344732469966562,11.99,gyro_e23
Engle_2024,HAT 216-04245,HAT 216-04245,0.6471426157485831,0.036200590843011,0.0383456107040784,12.49,gyro_e23
Engle_2024,1RXS J040731.6+340525,1RXS J040731.6+340525,0.6501296903430906,0.0363676851782964,0.0385226060011854,12.54,gyro_e23
Engle_2024,PM J04310+3647,PM J04310+3647,0.7144963260755134,0.0399682983775914,0.042336568945461,13.26,gyro_e23
Engle_2024,G 123-35,G 123-35,0.744731973905989,0.0432766754860177,0.0459466540938361,13.59,gyro_e23
Engle_2024,EPIC 210434976,EPIC 210434976,0.7998342550070284,0.0551022811010394,0.0591792664983672,2.55,gyro_e23
Engle_2024,YZ CMi (GJ 285),YZ CMi,0.8090958991783823,0.0557403354446649,0.0598645301079194,2.78,gyro_e23
Engle_2024,EPIC 204957517,EPIC 204957517,0.8109610578538408,0.0558688301884068,0.0600025321022399,2.82,gyro_e23
Engle_2024,LP 331-57A,LP 331-57A,0.8433347577642754,0.0508334272838035,0.054094036736473,14.54,gyro_e23
Engle_2024,UCAC4 617-130729,UCAC4 617-130729,0.8649679187756932,0.0521374026115939,0.055481652977478,14.75,gyro_e23
Engle_2024,HAT 122-01032,HAT 122-01032,0.8871560120379609,0.0611180624607822,0.0656401519856909,4.38,gyro_e23
Engle_2024,UCAC3 242-88245,UCAC3 242-88245,0.9057326008982,0.0545945626958236,0.0580964227257704,15.1,gyro_e23
Engle_2024,EPIC 206262336,EPIC 206262336,1.2078138351067802,0.0935193015150501,0.1013680878926268,9.71,gyro_e23
Engle_2024,HG 8-1,HG 8-1,1.247383514242943,0.0832574848324516,0.0892120023034992,17.57,gyro_e23
Engle_2024,EPIC 201482319,EPIC 201482319,1.355189412351036,0.1106748005796509,0.1205171209248585,11.68,gyro_e23
Engle_2024,G 74-25,G 74-25,1.667247212551063,0.1501968450917261,0.1650672098201486,15.29,gyro_e23
Engle_2024,UCAC4 619-055248,UCAC4 619-055248,1.6710906143107076,0.1187036043526252,0.1277803008180802,19.84,gyro_e23
Engle_2024,Ross 868 (GJ 669A),Ross 868,1.927524913190936,0.1327912863584095,0.1426164356001058,20.95,gyro_e23
Engle_2024,UCAC4 692-060564,UCAC4 692-060564,2.07491351745491,0.1562447767846204,0.1689684063278562,21.52,gyro_e23
Engle_2024,GJ 4334,GJ 4334,2.8119008303989403,0.1694920730769937,0.1803638062092489,23.54,gyro_e23
Engle_2024,CD-40 5404B (GJ 358),CD-40 5404B,2.9648313895243423,0.2042535333039969,0.2193661322017823,25.26,gyro_e23
Engle_2024,LP 167-71,LP 167-71,3.040885025676279,0.2160050507605722,0.2325219231121029,27.82,gyro_e23
Engle_2024,2MASS J00240376+2626299,2MASS J00240376+2626299,3.0974192992165803,0.2332413293099997,0.2522350923616963,29.84,gyro_e23
Engle_2024,1RXS J075235.5+410055,1RXS J075235.5+410055,3.1117163371060177,0.2343179223703488,0.2533993566488899,30.33,gyro_e23
Engle_2024,1RXS J174158.2+475403,1RXS J174158.2+475403,3.1622776601683795,0.2515605421017741,0.2733018188303671,32.23,gyro_e23
Engle_2024,GJ 674,GJ 674,3.198895109691398,0.261245457729867,0.2844780406687199,33.29,gyro_e23
Engle_2024,2MASS J06170531+8353354,2MASS J06170531+8353354,3.427677865464504,0.3231182773361478,0.3567479817064298,40.75,gyro_e23
Engle_2024,2MASS J20125995+0112584,2MASS J20125995+0112584,3.443499307633385,0.3317829705273669,0.367158926304346,41.15,gyro_e23
Engle_2024,GJ 752A,GJ 752A,4.265795188015927,0.861713291005918,1.079848405953789,46.6,gyro_e23
Engle_2024,GJ 588,GJ 588,3.793149849736819,0.451199449475677,0.5121162551802878,51.7,gyro_e23
Engle_2024,2MASS J06575703+6219197,2MASS J06575703+6219197,3.899419866765434,0.4796254416283463,0.5468928079256528,54.5,gyro_e23
Engle_2024,2MASS J16492028+5101177,2MASS J16492028+5101177,3.899419866765434,0.4874907505461494,0.5571426172095992,54.71,gyro_e23
Engle_2024,GJ 163,GJ 163,3.953666200681279,0.5101668930478946,0.585749965820753,56.04,gyro_e23
Engle_2024,2MASS J05011802+2237015,2MASS J05011802+2237015,4.528975799036208,0.727081835830595,0.8661304261150686,70.67,gyro_e23
Engle_2024,2MASS J19310458-0306186,2MASS J19310458-0306186,4.539416166502032,0.7287579325643008,0.8681270629537767,70.92,gyro_e23
Engle_2024,GJ 436,GJ 436,4.560369159512962,0.7321217263447344,0.87213415541137,71.4,gyro_e23
Engle_2024,2MASS J13505181+3644168,2MASS J13505181+3644168,4.591980128368687,0.7460623079151505,0.8907895208398502,72.18,gyro_e23
Engle_2024,2MASS J17311725+8205198,2MASS J17311725+8205198,4.90907876152603,0.8726248318499801,1.0612741043123377,79.22,gyro_e23
Engle_2024,GJ 3253,GJ 3253,5.011872336272722,0.9192657389726132,1.1257477153752191,81.55,gyro_e23
Engle_2024,2MASS J03103891+2540535,2MASS J03103891+2540535,5.081594425605605,0.9415976774083008,1.1557539292185863,82.83,gyro_e23
Engle_2024,GJ 357,GJ 357,5.236004365857502,1.009318223201472,1.2503399696248811,86.1,gyro_e23
Engle_2024,G 184-31,G 184-31,5.236004365857502,1.009318223201472,1.2503399696248811,86.25,gyro_e23
Engle_2024,EPIC 206019392 (G 876),EPIC 206019392,5.321082592667942,1.0454537311520795,1.3010824443496771,87.95,gyro_e23
Engle_2024,GJ 551,GJ 551,5.370317963702527,1.06505185878542,1.328528130462737,88.98,gyro_e23
Engle_2024,2MASS J18551471-7115026,2MASS J18551471-7115026,5.457578610912709,1.1024598740570228,1.3815378619015837,90.69,gyro_e23
Engle_2024,2MASS J14211512-0107199,2MASS J14211512-0107199,5.495408738576246,1.1201876869937246,1.406989299826173,91.41,gyro_e23
Engle_2024,2MASS J05015746-0656459,2MASS J05015746-0656459,5.533501092157366,1.1481941144075094,1.448822948614347,92.15,gyro_e23
Engle_2024,2MASS J19194119-5955194,2MASS J19194119-5955194,5.559042572704036,1.1433380991709106,1.4393773873186984,92.69,gyro_e23
Engle_2024,2MASS J23351050-0223214,2MASS J23351050-0223214,5.984115950603197,1.3389631983757022,1.7249187400411037,100.4,gyro_e23
Engle_2024,GJ 667C,GJ 667C,6.137620051647943,1.3952001990454956,1.805662295594873,103.1,gyro_e23
Engle_2024,2MASS J20403364+1529572,2MASS J20403364+1529572,6.223002851691596,1.4367019284652116,1.867956140092228,104.6,gyro_e23
Engle_2024,GJ 628,GJ 628,6.456542290346556,1.5474635288205247,2.0352624600165825,108.7,gyro_e23
Engle_2024,EPIC 201518346,EPIC 201518346,6.714288529259523,1.6676755536242398,2.218766308073429,112.83,gyro_e23
Engle_2024,EPIC 205913009 (GJ 1265),EPIC 205913009,6.934258060165691,1.7819716143481266,2.3982849478042194,116.4,gyro_e23
Engle_2024,2MASS J11505787+4822395,2MASS J11505787+4822395,7.014552984199712,1.802605873148908,2.4260557786595207,117.5,gyro_e23
Engle_2024,GJ 447,GJ 447,7.516228940182055,2.058650329269346,2.835192726611387,124.95,gyro_e23
Engle_2024,2MASS J19204795-4533283,2MASS J19204795-4533283,8.165823713585924,2.371536749317114,3.3421801758584326,133.9,gyro_e23
Engle_2024,GJ 699,GJ 699,9.289663867799362,1.364650562994644,1.5996370655349708,149.5,gyro_e23
Engle_2024,GJ 273,GJ 273,9.289663867799362,1.364650562994644,1.5996370655349708,160.83,kinematics
Engle_2024,GJ 581,GJ 581,9.289663867799362,1.364650562994644,1.5996370655349708,147.8,kinematics
