source_paper,star_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2024,EPIC 210707811,0.4864072056914615,0.0508953320058929,0.0568431258009716,11.77,gyro_e23,4.772921564620608e+16,64.46150286122511,18.47505354496004,21.64021425359963,0.05619019,113.17087381270306,-30.77713833776765,12.703422,14.200756,11.500916,2.6998405,2.711683,,1.2025061,,True
Engle_2024,HAT 136-02868,0.6067363295885054,0.0326198673811778,0.0344732469966562,11.99,gyro_e23,9.29741264307572e+17,121.98799088590096,46.371843558829646,16.36869293822465,0.020834388,-3.608471370299775,-94.57096251654102,13.79732,15.359767,12.5864105,2.7733564,1.1089877,,1.2109098,,False
Engle_2024,V2689 Ori,0.5248074602497725,0.0559940781045073,0.062681892280004,12.29,gyro_e23,3.339921875389105e+18,84.12911430605554,11.327618308646477,87.529739914385,0.02423139,-2.817815205717777,-56.34970439770736,8.195061,9.082688,7.266804,1.8158841,1.1343596,,0.9282565,,False
Engle_2024,UCAC4 654-053944,0.3819442708400465,0.0399648283263376,0.0446352479615461,10.08,gyro_e23,1.5331841693948183e+18,186.2002116588868,40.726978365290606,21.59797851111663,0.032043472,-163.7995965795805,-10.12660548445862,11.271945,12.183311,10.3205805,1.862731,1.459928,,0.9513645,,True
Engle_2024,HAT 216-04245,0.6471426157485831,0.036200590843011,0.0383456107040784,12.49,gyro_e23,1.5955961989095475e+17,70.7200870679829,31.639701296245864,24.638179791888152,0.014270525,80.14298235055718,-102.93258887601692,13.116964,14.59344,11.924905,2.6685352,1.1576743,,1.1920595,,False
Engle_2024,EPIC 201482319,1.355189412351036,0.1106748005796509,0.1205171209248585,11.68,gyro_e23,3.7959936335274906e+18,176.9183832811517,0.2551360375501735,53.13605503515882,0.030373748,-314.28368121758723,-100.7567914738442,11.966902,13.605234,10.72741,2.8778238,1.3083901,,1.2394915,,True
Engle_2024,EPIC 206262336,1.2078138351067802,0.0935193015150501,0.1013680878926268,9.71,gyro_e23,2.6161321011751066e+18,334.3269747930502,-8.804702900332636,90.48928671844163,0.22206937,-462.214530864671,-288.04865490851233,12.086389,13.815758,10.819993,2.9957647,10.065195,,1.2663956,,True
Engle_2024,GJ 4071,1.1040786199020731,0.0831391361943931,0.0899094845622001,8.16,gyro_e23,4.505805591300126e+18,280.6872687939103,13.906220985923316,91.46437521554849,0.02833133,-31.03043266944882,354.24853724040906,11.40063,13.058919,10.151707,2.9072123,1.2275623,,1.2489233,,True
Engle_2024,UCAC4 643-115616,0.3597493351557423,0.035409717806393,0.0392755672063997,9.65,gyro_e23,1.950040638449192e+18,329.25991826256114,38.44229184349107,13.352887595673884,0.012950325,203.0082942649379,46.623071102536166,11.979858,12.80361,11.081624,1.7219858,1.2507414,,0.89823437,,True
Engle_2024,LP 197-37,0.4315190768277652,0.0213149738411584,0.0224225398224379,9.36,gyro_e23,3.409057104958017e+17,40.22013777652639,44.87677122577009,,,,,12.262008666992188,13.406530380249023,10.826869010925291,2.5796613693237305,,,1.4351396560668943,,
Engle_2024,2MASS J21154192+1746242,0.328095293113119,0.0316121541606848,0.0349827616569823,9.02,gyro_e23,1.7850745137219594e+18,318.9249753568837,17.773430267425596,13.94685799140304,0.4001569,58.84554584569676,-0.1997879786190144,12.2495365,13.298705,11.206197,2.0925083,28.173262,0.2243,1.0433397,1.8682083,True
Engle_2024,2MASS J08445708+4640261,0.4017908108489399,0.0198465400088934,0.020877803416663,8.81,gyro_e23,1.013652173512807e+18,131.23714991186745,46.67384123216338,23.82671491980492,0.017200503,-97.61330607259973,-25.654373643274752,13.238674,14.685504,12.062194,2.62331,1.2462974,,1.1764803,,True
Engle_2024,HIP 23309,0.309029543251359,0.0291314112879228,0.0321633683705694,8.6,gyro_e23,4.764027962957023e+18,75.19666437541598,-57.25674085176277,37.21185747681589,0.01258996,35.38835067056905,74.11315957504551,9.37731,10.327255,8.403519,1.9237366,1.0049267,,0.9737911,,False
Engle_2024,G 151-64,1.1220184543019631,0.0844900384839506,0.0913703961630139,8.43,gyro_e23,6.321908842843721e+18,232.2551850309864,-6.214281600858726,29.54787656958497,0.04111988,-187.92608723842983,-307.0583744175582,12.601438,14.201089,11.376095,2.824994,1.600922,0.0,1.2253428,2.824994,True
Engle_2024,UCAC4 729-006249,0.2985382618917959,0.0281424254809116,0.0310714502856617,8.35,gyro_e23,4.185821568516938e+17,9.143620105279684,55.62668356544695,22.928541492467755,0.0190501,55.09185757018877,-9.89350222192405,11.322371,12.254256,10.366407,1.8878489,1.1092676,,0.95596313,,False
