object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J02564708-6343027,2MASS,02564708-6343027,Mamonova2025,0.595,,45.0,,220556639.0,4.721078629298086e+18,4721078629298085760,2.8487968,,3.0160224,17.0094412708018,
2MASS J02590284-6120000,2MASS,02590284-6120000,Mamonova2025,0.97,,45.0,,220558700.0,4.72196281274173e+18,4721962812741729792,2.9756508,,1.3802253,13.310261018269191,
2MASS J03033668-2535329,2MASS,03033668-2535329,Mamonova2025,5.0,,24.0,,88416301.0,5.073000900844652e+18,5073000900844651776,1.9906483,,7.498563,27.61804384070928,
2MASS J03050556-5317182,2MASS,03050556-5317182,Mamonova2025,0.444,,45.0,,339607562.0,4.734936122236789e+18,4734936122236789120,3.2936382,,1.2789296,22.50107084393793,
2MASS J03050976-3725058,2MASS,03050976-3725058,Mamonova2025,2.988,,45.0,,165124012.0,5.045153363689822e+18,5045153363689822080,2.3079214,,,,
2MASS J03074682+2457555,2MASS,03074682+2457555,Mamonova2025,4.3,,24.0,,34854348.0,1.1173165435744282e+17,111731654357442816,3.0723648,,1.5795689,38.816151119414975,
2MASS J03083950-3844363,2MASS,03083950-3844363,Mamonova2025,0.689,,45.0,,165162811.0,5.04476925617466e+18,5044769256174659456,3.1013947,,1.130069,17.773729002285975,
2MASS J03104941-3616471,2MASS,03104941-3616471,Mamonova2025,0.66,,45.0,,165184400.0,5.046815924054175e+18,5046815924054174848,3.0193357,,1.2434089,23.10958707617052,
2MASS J03114544-4719501,2MASS,03114544-4719501,Mamonova2025,4.88,,45.0,,152970890.0,4.750820491845428e+18,4750820491845428480,3.027257,,1.449683,22.415014623506742,
2MASS J03204757-5041330,2MASS,03204757-5041330,Mamonova2025,6.2,,45.0,,200767965.0,4.737112944804903e+18,4737112944804903040,2.3335876,0.0139,1.0902954,22.80582809732299,2.3196876
2MASS J03241504-5901125,2MASS,03241504-5901125,Mamonova2025,3.76,,42.0,,197787320.0,4.723899224517493e+18,4723899224517492992,1.652236,0.0133,2.8631818,11.935938193747983,1.638936
2MASS J03244056-3904227,2MASS,03244056-3904227,Mamonova2025,22.4,,45.0,,160008866.0,4.853494193317167e+18,4853494193317166848,2.81147,,1.3679862,21.33237312845684,
2MASS J03282609-0537361,2MASS,03282609-0537361,Mamonova2025,1.06,,24.0,,279225873.0,3.24823655998e+18,3248236559980000512,2.8619738,,1.4279735,35.76242415757404,
2MASS J03291649-3702502,2MASS,03291649-3702502,Mamonova2025,0.541,,45.0,,308305105.0,4.859766769714787e+18,4859766769714787072,3.053234,,1.3511479,23.479043124461644,
2MASS J03315564-4359135,2MASS,03315564-4359135,Mamonova2025,2.912,,45.0,,79566479.0,4.848412521155009e+18,4848412525451859328,1.7154455,,1.8113875,22.167463530873928,
2MASS J03320347-5139550,2MASS,03320347-5139550,Mamonova2025,5.414,,42.0,,200806186.0,4.736393250021663e+18,4736393250021662976,2.2995691,0.1912,1.1482506,13.105729822861749,2.108369
2MASS J03363144-2619578,2MASS,03363144-2619578,Mamonova2025,0.2,,24.0,,144653213.0,5.084713036143375e+18,5084713036143375744,3.7007866,,4.669819,21.67856097177205,
2MASS J03364764-5545081,2MASS,03364764-5545081,Mamonova2025,3.001,,24.0,,197829751.0,4.730672387943135e+18,4730672387943135616,2.8343868,0.0001,1.5016403,33.82650301265995,2.834287
2MASS J03393700+4531160,2MASS,03393700+4531160,Mamonova2025,3.352,,24.0,,65644951.0,2.4473476560836314e+17,244734765608363136,2.8542824,,1.291808,24.82053292010995,
2MASS J03415608-5542408,2MASS,03415608-5542408,Mamonova2025,1.69,,24.0,,197866266.0,4.73140074567708e+18,4731400745677079808,3.0377731,,1.2340308,36.813470942331726,
2MASS J03454058-7509121,2MASS,03454058-7509121,Mamonova2025,0.7,,24.0,,238194430.0,4.628964641797092e+18,4628964641797092352,2.8725452,,1.2589391,17.517915664597638,
2MASS J03512287-5154582,2MASS,03512287-5154582,Mamonova2025,0.41,,45.0,,206478549.0,4.829047067669501e+18,4829047067669501056,3.077941,,9.959621,18.03253490967367,
2MASS J03561624-3915219,2MASS,03561624-3915219,Mamonova2025,3.9,,45.0,,140205777.0,4.843589861293703e+18,4843589861294177536,3.3230228,,6.0779333,17.769890423174623,
2MASS J04000382-2902165,2MASS,04000382-2902165,Mamonova2025,4.5,,45.0,,44670258.0,4.888246251178417e+18,4888246251178417024,1.4537764,,11.928194,19.771038131945694,
2MASS J04021648-1521297,2MASS,04021648-1521297,Mamonova2025,3.8,,45.0,,70596114.0,5.109911781067864e+18,5109911781067864064,1.2218828,,1.0411612,18.28162006613377,
2MASS J04053964-4014103,2MASS,04053964-4014103,Mamonova2025,0.44,,45.0,,404484288.0,4.843959091042177e+18,4843959091042621312,2.9429522,,6.1733637,19.924034421066125,
2MASS J04074372-6825111,2MASS,04074372-6825111,Mamonova2025,1.018,,45.0,,25118964.0,4.668269708587378e+18,4668269708587377664,2.705843,,1.2964587,16.387926296936673,
2MASS J04080707-7127009,2MASS,04080707-7127009,Mamonova2025,5.2,,24.0,,25132999.0,4.653866999617253e+18,4653866999617253376,1.8246317,0.0041,1.0228227,17.323639830981925,1.8205317
2MASS J04082685-7844471,2MASS,04082685-7844471,Mamonova2025,3.087,,45.0,,302965929.0,4.625883599760006e+18,4625883599760005760,1.912921,0.0003,1.0209252,17.33187586265554,1.9126209
2MASS J04091413-4008019,2MASS,04091413-4008019,Mamonova2025,3.275,,42.0,,160142472.0,4.843859619599389e+18,4843859619599388928,2.6783142,0.3364,1.3071729,13.2570565010624,2.3419142
2MASS J04133609-4413325,2MASS,04133609-4413325,Mamonova2025,0.778,,45.0,,152505948.0,4.838601651916263e+18,4838601651916263040,2.8845634,,1.3905016,19.21834684384036,
2MASS J04141358+2812492,2MASS,04141358+2812492,Mamonova2025,5.268,,4.5,,56624887.0,1.6318436613080947e+17,163184366130809472,2.2684145,0.0008,1.6302466,7.575347285477452,2.2676146
2MASS J04160235+3325301,2MASS,J04160235+3325301,LWRD,4.77,0.05,179.0,16.0,85850299.0,1.697281439451643e+17,169728143945164288,2.4197903,1.581,1.172131,9.595342469179094,0.8387903
