name,role,binary_type,system_id,mass_msun,prot_days,age_min_gyr,age_c18_gyr,simbad_ra,simbad_dec,simbad_pmra,simbad_pmdec,simbad_parallax,simbad_resolved,ra_j2016,dec_j2016,n_gaia_matches,gaia_source_id,gaia_ra,gaia_dec,gaia_ang_sep_arcsec,gaia_parallax,gaia_parallax_error,gaia_parallax_over_error,gaia_pmra,gaia_pmdec,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ebpminrp_gspphot,gaia_teff_gspphot,gaia_ruwe,flag_multi_match,flag_high_ruwe,flag_no_ebpminrp,bprp0,elbadr_companion_source_id,sep_AU,R_chance_align,flag_in_elbadr
LP 99-392,primary,FGKM,LP 99-392,0.31,1.196,,,233.85701119897004,60.08543715785,171.102,-163.988,51.3462,True,233.85853601195015,60.08470831351796,1,1603272950424941568,233.85853604492914,60.08470833271646,9.100915054992418e-05,51.346175446970754,0.019286885857582092,2662.232421875,171.10191876043388,-163.98762912385047,12.155627250671387,2.7766218185424805,0.0,3015.146240234375,1.356397271156311,False,False,False,2.7766218185424805,,,,False
HD 139477,companion,FGKM,LP 99-392,,,,,233.83351634482,60.0869919678,171.924,-162.744,51.2222,True,233.8350485557542,60.08626865227186,2,1603267143629157120,233.8350485767822,60.086268676908446,9.639193550325572e-05,51.222192287747625,0.017109105363488197,2993.855712890625,171.9239039167985,-162.743687938706,8.03315258026123,1.2921876907348633,0.0,4533.75341796875,0.968590259552002,True,False,False,1.2921876907348633,,,,False
LP 128-32,primary,FGKM,LP 128-32,0.32,6.5,,,162.65934987678,51.75042598926,-191.376,3.297,37.8885,True,162.6579759846505,51.75044063458492,1,837177915851182080,162.6579759864245,51.75044065157382,6.128770003768246e-05,37.888515571378335,0.027854183688759804,1360.2449951171875,-191.37581662707703,3.2972194719677588,12.762718200683594,2.7945518493652344,0.0,3010.18603515625,1.4145148992538452,False,True,False,2.7945518493652344,,,,False
HD 93811,companion,FGKM,LP 128-32,,,,,162.6679518481066,51.7994770395414,-191.39,45.163,37.3856,True,162.6665763555423,51.799677755963565,1,837178843564106112,162.66658106994126,51.79966776445224,0.03746943200891796,,,,,,8.047440528869629,1.110750675201416,,,,False,False,True,,,,,False
GJ 166 C,primary,FGKM,GJ 166 C,0.24,,,,63.83973332536918,-7.655748493915556,-2247.183,-3409.824,199.4516,True,63.829655661887216,-7.670903149772026,1,3195919254111314944,63.82965602087436,-7.670903382610344,0.0015306955104851527,199.45161859738874,0.06920624524354935,2881.98876953125,-2247.1829426127065,-3409.8237087898747,9.775308609008789,2.989675521850586,,,1.5311920642852783,False,True,True,,,,,False
GJ 166 A,companion,FGKM,GJ 166 C,,,,,63.817998412477074,-7.652869660838334,-2240.085,-3421.809,199.608,True,63.80795264723292,-7.66807758414107,1,3195919528989222912,63.80795300602079,-7.6680778150199815,0.0015262549526467357,199.6080124181338,0.12083028256893158,1651.9700927734375,-2240.0849838923477,-3421.8086201704023,4.179893970489502,1.041245460510254,,,1.9449321031570435,False,True,True,,,,,False
LP 876-10,primary,FGKM,LP 876-10,0.2,0.318,,,342.0187202090404,-24.368810498159718,331.609,-183.805,130.2707,True,342.0203381843519,-24.369627400690767,1,6623351805412369408,342.0203381724408,-24.369627417603155,7.233651647604153e-05,130.27065669284806,0.03249052166938782,4009.4970703125,331.60870305798755,-183.8049429101332,11.129232406616211,3.0147228240966797,,,1.2056622505187988,False,False,True,,,,,False
HD 216803,companion,FGKM,LP 876-10,,,,,344.1002189853825,-31.565564051324166,330.203,-158.602,131.5525,True,344.10194141279584,-31.56626893755992,1,6604147121141267456,344.10194140173917,-31.56626896213439,9.47459381415534e-05,131.55250924995755,0.027515385299921036,4781.052734375,330.2033788189263,-158.6023341436887,6.091864585876465,1.3403124809265137,0.0,4463.10888671875,0.9246975183486938,False,False,False,1.3403124809265137,,,,False
LSPM J0849+0329W,primary,FGKM,LSPM J0849+0329W,0.23,4.4,,,132.25939735453,3.49639811613,-150.446,58.375,32.9501,True,132.25872745852936,3.496657560338093,1,581103581886377728,132.25872745771025,3.4966575622998417,7.651087322277183e-06,32.95005143827675,0.019860202446579933,1659.099365234375,-150.44622774244263,58.37533513431821,13.747092247009277,2.915384292602539,,,1.0834547281265259,False,False,True,,5.811003821352538e+17,4835.132779172997,0.000358328665948609,True
HD 75302,companion,FGKM,LSPM J0849+0329W,,,,,132.30220355044,3.4847549479,-148.238,60.209,32.9777,True,132.30154349425237,3.485022543226988,1,581100382135253760,132.30154349017843,3.485022545525026,1.681497985870738e-05,32.977696569279644,0.023894205689430237,1380.154541015625,-148.23814037425984,60.20908036764044,7.295365810394287,0.8505048751831055,0.0,5556.2431640625,1.003922939300537,False,False,False,0.8505048751831055,5.811035818863777e+17,4835.132779172997,0.000358328665948609,True
