object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J01134031-5939346,2MASS,01134031-5939346,Mamonova2025,0.323,,45.0,,206544316.0,4909009394396454144,4909009394396454144,2.8899565,,1.2622318,23.336040728150092,
2MASS J01160045-6747311,2MASS,01160045-6747311,Mamonova2025,0.62,,45.0,,52194976.0,4692567919129007360,4692567919129007360,3.10149,,1.2516804,14.76816292135711,
2MASS J01180670-6258591,2MASS,01180670-6258591,Mamonova2025,0.346,,45.0,,237880881.0,4709338941785748480,4709338941785748480,3.501379,,1.1835426,21.775468769879144,
2MASS J01211297-6117281,2MASS,01211297-6117281,Mamonova2025,0.423,,45.0,,237883772.0,4716440103274406528,4716440103274406528,3.0833855,,1.1968681,20.192231179462905,
2MASS J01224511-6318446,2MASS,01224511-6318446,Mamonova2025,0.457,,45.0,,237885807.0,4712271339297039744,4712271339297039744,2.7544518,0.0002,1.3419656,22.052900810809465,2.7542517
2MASS J01233280-4113110,2MASS,01233280-4113110,Mamonova2025,0.736,,45.0,,41862041.0,4984291478082944256,4984291478082944256,3.121543,,1.3596337,25.012142608351812,
2MASS J01253196-6646023,2MASS,01253196-6646023,Mamonova2025,0.26,,45.0,,52284854.0,4704749786410138752,4704749786410138752,3.0462646,,1.4388866,21.622231907962764,
2MASS J01275875-6032243,2MASS,01275875-6032243,Mamonova2025,0.34,,45.0,,237910557.0,4716574999607065088,4716574999607065088,3.0989294,,1.1742415,19.82047176991165,
2MASS J01380311-5904042,2MASS,01380311-5904042,Mamonova2025,1.8,,45.0,,230981685.0,4717131661728534272,4717131661728534272,2.806882,0.0002,1.4206015,23.33299277941035,2.8066819
2MASS J01484087-4830519,2MASS,01484087-4830519,Mamonova2025,4.5,,149.0,,229147927.0,4941706636824503680,4941706632527781504,2.1898718,0.0108,1.145983,25.618791875810686,2.179072
