moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,k_m,k_cmsig,k_msigcom,k_snr,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
3945216,604917006584145792,08513526+1147399,NGC2682,CM,Gaia DR3 604917006584145792,132.896943,11.79444,(M1.2),99.929,18.55704,17.50562,19.78065,1.040531917818705,46.9,~4000,4168.7,,,,15.082,0.1221,0.1224,9.3,2.274044,0.2587,0.9694036,1.040531917818705,2.0153441
3912070,598696107233137920,08514029+1121222,NGC2682,CM,Gaia DR3 598696107233137920,132.9178324,11.3561897,(M1.2),98.9727,18.44708,17.39553,19.53447,0.9534829795609596,29.4,~4000,4168.7,,,,14.902,0.0956,0.096,10.98,2.1389942,0.1587,1.0178543,0.9534829795609596,1.9802942
3912269,598955385818884096,08495235+1142347,NGC2682,CM,Gaia DR3 598955385818884096,132.468126,11.709649,(M1.2),99.8078,18.78616,17.73428,19.93963,1.16509970300262,28.4,~4000,4168.7,,,,15.704,0.1915,0.1917,5.43,2.2058887,0.1731,1.0097387,1.16509970300262,2.0327888
3945647,604971677223267072,08512501+1200018,NGC2682,CM,Gaia DR3 604971677223267072,132.8542132,12.0005219,(M1.2),99.6493,18.702,17.64971,19.94859,1.0023875329369196,35.4,~4000,4168.7,,,,15.305,0.1296,0.1299,8.7,2.2982922,0.0836,0.96940607,1.0023875329369196,2.214692
3945473,604947140074786816,08520062+1159320,NGC2682,CM,Gaia DR3 604947140074786816,133.0026234,11.992245,(M1.2),99.692,18.75577,17.702,19.92321,1.0934570931851086,29.9,~4000,4168.7,,,,15.336,0.1205,0.1208,8.45,2.2203827,0.0842,0.95145667,1.0934570931851086,2.1361828
3945270,604918552772398720,08515801+1150376,NGC2682,CM,Gaia DR3 604918552772398720,132.9916802,11.8437606,(M1.2),97.4351,18.86405,17.80948,20.04113,1.6565771865627736,36.1,~4000,4168.7,,,,15.49,0.1737,0.1739,6.39,2.2332935,0.0078,1.0506972,1.6565771865627736,2.2254934
3945618,604969856157171584,08510216+1156554,NGC2682,CM,Gaia DR3 604969856157171584,132.7589616,11.9487729,(M1.2),99.0193,18.68425,17.62949,19.75537,0.7513263944607597,34.1,~4000,4168.7,,,,15.277,0.1302,0.1305,8.93,2.1253452,0.1002,0.9959412,0.7513263944607597,2.0251453
3945065,604906531159506304,08520152+1147343,NGC2682,CM,Gaia DR3 604906531159506304,133.0061443,11.7928913,(M1.3),96.9031,18.9131,17.85575,20.14747,0.7075490272083919,38.5,~4000,4168.7,,,,15.467,0.1737,0.1739,6.53,2.2916985,0.0403,1.031594,0.7075490272083919,2.2513986
3912158,598887770148211584,,NGC2682,CM,Gaia DR3 598887770148211584,132.56912501420234,11.403457857265709,(M1.3),82.134,20.13485,19.07703,20.98607,0.5975160133860037,103.0,~4000,4168.7,,,,,,,,1.9016762,,1.0158156,0.5975160133860037,
3945767,604996583742879616,08512348+1206040,NGC2682,CM,Gaia DR3 604996583742879616,132.8477969,12.101048,(M1.4),99.86,18.69286,17.63031,19.90348,1.297084137676938,30.8,~4000,4168.7,,,,15.269,0.1206,0.1209,8.99,2.2734509,0.1965,1.0943551,1.297084137676938,2.0769508
