source_paper,star_name,normalized_name,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days,prot_err_plus,prot_err_minus,age_err_hi_gyr,age_err_lo_gyr
Engle_2024,GJ 832,GJ 832,,,,,38.1,,,,
Engle_2024,GJ 2066,GJ 2066,,,,,40.7,,,,
Engle_2024,GJ 676A,GJ 676A,,,,,41.2,,,,
Engle_2024,GJ 156.1A,GJ 156.1A,,,,,41.2,,,,
Engle_2024,GJ 3138,GJ 3138,,,,,42.0,,,,
Engle_2024,GJ 552,GJ 552,,,,,43.5,,,,
Engle_2024,GJ 15A,GJ 15A,,,,,44.99,,,,
Engle_2024,GJ 184,GJ 184,,,,,45.0,,,,
Engle_2024,GJ 412A,GJ 412A,,,,,46.4,,,,
Engle_2024,GJ 9440,GJ 9440,,,,,48.0,,,,
Engle_2024,GJ 654,GJ 654,,,,,49.0,,,,
Engle_2024,GJ 521A,GJ 521A,,,,,49.5,,,,
Engle_2024,GJ 536,GJ 536,,,,,49.8,,,,
Engle_2024,V*BR Psc (GJ 908),V*BR Psc,,,,,49.9,,,,
Engle_2024,GJ 119A,GJ 119A,,,,,51.2,,,,
Engle_2024,GJ 625,GJ 625,,,,,51.22,,,,
Engle_2024,GJ 526,GJ 526,,,,,52.3,,,,
Engle_2024,GJ 476,GJ 476,,,,,55.0,,,,
Engle_2024,GJ 411,GJ 411,,,,,56.15,,,,
Engle_2024,GJ 1,GJ 1,,,,,56.8,,,,
Engle_2024,GJ 433,GJ 433,,,,,72.6,,,,
Engle_2024,Pleiades,Pleiades,,,,,,,,,
Engle_2024,LP 831-35,LP 831-35,,,,,2.08,,,,
Engle_2024,AD Leo (GJ 388),AD Leo,,,,,2.24,,,,
Engle_2024,LP 805-1,LP 805-1,,,,,2.81,,,,
Engle_2024,GJ 729,GJ 729,,,,,2.87,,,,
