df_id,prot_id,GaiaDR3_ID,subgroup,data_catalog,prot_source,P_rot,mem_prob_val,mem_prob_val_source,P_out,ra,dec,pmra,pmdec,G0,BPRP0,BPRP0_err,logBPRP0_err,sampled_avg_dist_pc,dustmap_query,dustmap_used,age_Myr,logA_Myr,cmd_exclude
38067,38067,3314581984953794816,Hyades,D+19,Douglas2019,1.54,0.9,source,0.05,67.25475392693583,18.67354031760568,113.32245937317006,-36.05766616826965,12.25473,2.393879,0.016079986543823286,-1.793714319017029,43.216951413196,Edenhofer,Edenhofer,775,2.8897999999999993,0
21496,21496,3394737546553661440,NGC1817,L+23,Long2023,12.218,0.3299168109786777,PC,0.05,78.01874088065115,16.606960586400625,0.3163459494906078,-0.8979239704978544,16.187900525131703,0.9808353426861763,0.04532672926130532,-1.343645618135562,2216.379637871419,Bayestar,Bayestar,1273,3.1049000000000007,0
24639,24639,3394737688289099904,NGC1817,L+23,Long2023,0.158,0.592598756351334,PC,0.05,78.02824628593402,16.628249769563354,0.48756208970802506,-0.8851824401153024,12.621074525131704,0.5214599426861762,0.04459112981913778,-1.350751523658447,1767.4002890603988,Bayestar,Bayestar,1273,3.1049000000000007,0
24654,24654,3394740746305963008,NGC1817,L+23,Long2023,0.555,0.9143669309948468,PC,0.05,78.38341111523657,16.658940543101767,0.4414916810888365,-0.9659965425779392,14.078394846083045,0.5014063296987296,0.03812092169578023,-1.4188366074421008,1527.988392499088,Bayestar,Bayestar,1273,3.1049000000000007,0
21553,21553,3394744010480899456,NGC1817,L+23,Long2023,10.642,0.3504046751080249,PC,0.05,78.1490210284165,16.680262711417594,0.3008818983731114,-1.0865231263955684,16.921356625658515,1.0169482134308814,0.058351267695908884,-1.2339497043596999,1681.903415480525,NULL,Bayestar,1273,3.1049000000000007,0
21557,21557,3394744040544325120,NGC1817,L+23,Long2023,10.676,0.7328525566582579,PC,0.05,78.15906832760795,16.69599500762836,0.37963892778716113,-1.00921335991368,15.977039832242845,0.8390836163704634,0.06502018606287939,-1.1869517920535773,1853.5067592862567,Bayestar,Bayestar,1273,3.1049000000000007,0
31621,31621,3394757131604737664,NGC1817,L+23,Long2023,12.545,0.2957638581535454,PC,0.05,78.06418057351004,16.75748399014589,0.515547164182588,-0.7808486818466309,16.595684525131702,1.0264924426861763,0.09213614067386809,-1.0355699830877423,1921.3441483015013,Bayestar,Bayestar,1273,3.1049000000000007,0
31634,31634,3394758505994366464,NGC1817,L+23,Long2023,10.612,0.3582766354601346,PC,0.05,78.17777156182763,16.814525943790844,0.6061520070005444,-0.9699796391874347,16.232730522262404,0.9042693472679002,0.019930942938100826,-1.700472154228427,1393.2063427088258,both,Edenhofer,1273,3.1049000000000007,0
24786,24786,3394801013286962560,NGC1817,L+23,Long2023,0.204,0.6467199664287713,PC,0.05,77.7050491924354,16.75161291780367,0.5520165655058091,-0.9918358014456724,13.87609769411218,0.5351433673869848,0.03992731635185159,-1.3987298792058553,1659.7537253531882,Bayestar,Bayestar,1273,3.1049000000000007,0
19678,19678,3409916171432567552,NGC1647,L+23,Long2023,5.519,0.5346565978453048,PC,0.05,71.50851991615076,19.151309285435726,-1.014863627206592,-1.7506171054459032,14.440194566727834,1.0807674927231878,0.030340941478712326,-1.5179709471924732,621.2066733787203,both,Edenhofer,309,2.49,0
19681,19681,3409916407654135680,NGC1647,L+23,Long2023,4.684,0.8333378727069058,PC,0.05,71.50568868989626,19.171090765544697,-1.0213233585583361,-1.3320168310307314,13.52860709864877,0.9794828788871252,0.021926276993635096,-1.6590351037708595,558.9795835716355,both,Edenhofer,309,2.49,0
17556,17556,3409916446310470784,NGC1647,L+23,Long2023,0.716,0.9969646727618744,PC,0.05,71.49211232733462,19.177504495272807,-1.1546335712762719,-1.3489297676929781,8.338229704432324,-0.0028508485544362916,0.021885524753889173,-1.6598430357547178,580.8276979398764,both,Edenhofer,309,2.49,0
