moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,phot_g_mean_mag,bp_rp,ruwe,parallax,ebpminrp_gspphot,bprp0,flag_high_ruwe
123155,5301644820583763712,08484565-6016558,UPK545,CM,Gaia DR2 5301644820583763712,132.190216,-60.282169,(M4.1),99.7413,18.269,17.011,19.938,3.1376399993896484,1.6311700344085691,81.3,81.3,16.3,16.3,16.3,18.406649,3.0162334,0.977631,3.13763568721272,0.4207,2.5955334,False
3252506,5290722718747546752,07563314-6051495,NGC2516,CM,Gaia DR3 5290722718747546752,119.138122,-60.863762,(M4.2),99.7411,19.24482,17.97837,20.82641,2.0103716585470615,1.321,195 ± 25,195.0,25.0,25.0,25.0,19.244795,2.8483658,1.0546618,2.0103716585470615,,,False
24130,6235534198668146944,15522422-2621472,CWNU1143,CM,2MASS J15522422-2621472,238.1008487,-26.363274,(M5.8),99.7407,14.242,13.047,15.759,9.093199729919434,1.373,"18.5 (-8.3,+15.0)",18.5,12.0,15.0,8.3,14.347862,2.7774992,1.3591509,9.093195821912573,0.4463,2.3311992,True
1792797,5870565470064337280,13491813-5926314,CWNU1138,CM,Gaia DR3 5870565470064337280,207.325575,-59.442081,(M3.0),99.7404,18.1506,16.97353,19.49715,2.1032500109183405,2.0534146515750695,110 ± 20,112.2,22.4,22.4,22.4,18.150593,2.5235062,1.0280129,2.1032500109183405,0.4173,2.1062062,False
33510,1908488822722627584,22221379+3748491,THEIA312,CM,Gaia DR2 1908488822722627584,335.5574928,37.8137258,(M5.5),99.7399,17.345,16.195,18.753,3.1599299907684326,1.1407400369644165,195.0,195.0,89.8,89.8,89.8,17.46415,2.6292076,1.0459799,3.1599275001414595,0.3234,2.3058076,False
2804476,3326741999442331008,06413327+0956397,NGC2264,CM,Gaia DR3 3326741999442331008,100.3886457,9.9443804,(M2.1),99.7393,16.89234,15.78021,18.12145,1.3547108432794126,4.8683601,28.2,28.2,,,,16.892334,2.341486,1.0464981,1.3547108432794126,,,False
9024,1600900204332290048,15170847+5612130,GRX,HM,2XMM J151708.4+561213,229.2851969,56.2036298,(M5.8),99.7388,16.174,14.947,17.776,9.26580047607422,1.1898499727249146,300 ± 60,300.0,60.0,60.0,60.0,16.196505,2.843194,1.0554684,9.26579746176363,0.3885,2.454694,False
3819382,5931745385090045568,16155961-5508435,HARV10,CM,Gaia DR3 5931745385090045568,243.998403,-55.145435,(M4.3),99.7388,18.0752,16.80175,19.08321,1.6080325130554387,2.0570881011650872,229.1,229.1,,,,18.075186,2.2815247,1.0059807,1.6080325130554387,0.71,1.5715246,False
113562,508027767067640448,02013507+6030168,STOC2,CM,Gaia DR2 508027767067640448,30.3964267,60.5046182,(M2.4),99.7385,17.915,16.782,19.333,2.897209882736206,5.786459922790527,398.1,398.1,79.6,79.6,79.6,18.422075,2.8538132,1.0300459,2.897211795207668,0.5447,2.309113,False
4079198,951473313493803904,06495286+4110522,NGC2281,CM,Gaia DR3 951473313493803904,102.4702869,41.1811418,(M5.7),99.7379,17.88133,16.77027,19.11062,1.829802470058522,14.31,631.0,631.0,,,,17.881306,2.3403282,0.9149518,1.829802470058522,0.2998,2.0405283,False
