source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Feinstein2024,TIC 426828832,3417333133276904704,80.68788542156535,24.67866093827059,1.6197429422775462,-17.821904260872373,1.5416451297685334,0.0085,0.0013,0.0013,association,5.539543706683319,0.05703908,3.3085794,3.3085794,,1.0201551,False,15.939167,none,05224508+2440433,11.598,0.025,0.0406286635842212,0.0031344100252482,11.55737133641578,5.274741302809902,False,0.5606415369132629,0.014173559881557107,0.014255756564189315,55.237614523338905,0.027909335750137435,3.7426029060241284
Feinstein2024,TIC 54008191,3417570387270978176,80.53911990569624,25.155426524110226,2.9958647993336163,-18.88773315132962,1.44817846737812,0.0085,0.0013,0.0013,association,5.888227462021558,0.04728021,3.2798862,3.2798862,,1.0633137,False,15.81957,none,05220937+2509198,11.543,0.02,0.0196316702217009,0.0014103456563487,11.523368329778299,5.373291221949238,False,0.5453427714882662,0.01326967372488641,0.01348299670567521,59.757306937466524,0.02423433286398895,4.225606785870455
Feinstein2024,TIC 285555777,3417723112010385024,81.67536263786884,25.176797699014152,0.4726389194392889,-18.01547072441525,1.37926432288807,0.0085,0.0013,0.0013,association,5.592018596861443,0.03932522,3.178196,2.5114959999999997,0.6667,1.0541975,False,15.197769,none,05264208+2510368,11.03,0.021,0.0338541067591921,0.002181999741707,10.996145893240808,4.733988928406825,False,0.6403223326646521,0.015642075098759478,0.01574197210954731,39.66993206533971,0.03476850730715409,2.091016340115672
Feinstein2024,TIC 54231347,3417741494472219008,81.19393353282905,25.076505972061145,1.2393224837277907,-17.610104813652743,12.0621963505991,0.0085,0.0013,0.0013,association,5.706400951596984,0.05018754,2.888483,2.3292829999999998,0.5592,1.3857062,True,15.163435,none,05244654+2504357,11.023,0.026,0.0278379278288724,0.0034944532900728,10.995162072171127,4.7769734893481015,False,0.6341202226475295,0.015760285083209702,0.015908918963351226,40.275966815584255,0.2994886852953656,2.153923456003629
Feinstein2024,TIC 76636271,3443008855794991872,87.16217405703397,27.49215169814355,0.1468107199619756,-19.32279138854389,5.0395414152505,0.0085,0.0013,0.0013,association,5.291348772655406,0.041941885,2.880662,2.880662,,1.3981895,True,15.140217,none,05483892+2729319,11.054,0.018,0.013286385420272,0.0007340692010951,11.040713614579728,4.658545556853122,False,0.6510532329714482,0.01578605668348132,0.01598691437484223,38.62136980678992,0.13048582793571736,1.9821743512895966
Feinstein2024,TIC 345135733,3463395519358168064,177.0985755547717,-37.48021516505471,-57.04021298041484,-15.886114982077492,4.950180638710193,0.01,0.003,0.003,association,13.135712420820894,0.026251419,2.633359,2.633359,,1.3404187,True,12.855838,none,11482373-3728485,9.151,0.024,0.0009005532345237,4.618267148752009e-05,9.150099446765475,4.742367606278062,False,0.6391314217255915,0.0156606315354485,0.015738267947091877,39.78630107709935,0.12441922231266363,2.1030955796404296
Feinstein2024,TIC 203008491,354143766071577728,37.79179031317141,47.423869381763154,34.29708367227171,-27.89818017827542,1.0687637395904166,0.079,0.0019,0.0019,association,7.647495611163802,0.025833448,2.351574,1.9766739999999998,0.3749,1.0677575,False,14.356323,none,02310996+4725264,10.914,0.022,0.002248618001182,0.0001257871550756,10.911751381998817,5.329347564092211,False,0.552219298655177,0.013347400587219616,0.013558284717464564,57.725784340156274,0.018514494896987366,4.008504999600839
Feinstein2024,TIC 241086937,359644107351294336,29.31372351666638,52.10577466098942,31.838836634436824,-20.24221220178884,0.2948445545597232,0.079,0.0019,0.0019,association,6.741775291430343,0.026152644,2.4827127,2.1700127,0.3127,1.0850661,False,14.8309145,none,01571523+5206211,11.255,0.017,0.0032225390589055,0.0001991861106531,11.251777460941096,5.3956488262219935,False,0.5418686040577474,0.012864317075297782,0.013046466236945609,60.783675258368355,0.0048507194292949675,4.335291214748262
Feinstein2024,TIC 445242095,417692273991883520,11.987318868992892,55.41783583121973,26.393200124367624,-9.537494377330216,0.2538761040707463,0.079,0.0019,0.0019,association,5.473916099674142,0.022781774,2.1831217,1.9146217,0.2685,1.019194,False,14.6184845,none,00475690+5525044,11.238,0.022,0.0042257955665688,0.0002174329648116,11.23377420443343,4.925264887261214,False,0.6127793400433708,0.015018873352018347,0.01514057573201999,42.36127591576206,0.005993117501361248,2.3703809795600965
Feinstein2024,TIC 347308085,423254497156733440,1.4608831442924586,59.73233657840024,22.72853240583718,-3.7372916087097896,0.7770470443975417,0.079,0.0019,0.0019,association,4.816857123171309,0.02353282,2.4866905,2.1326905,0.354,1.1979998,False,14.8317375,none,00055055+5943564,11.145,0.022,0.0095184571908651,0.0004906576049352,11.135481542809135,4.549300365476851,False,0.6666945708572625,0.01612277841180998,0.016398301651984082,37.092987647661786,0.020948623814790613,1.8235264955906239
Feinstein2024,TIC 83969142,431890542519116928,3.8569705786662007,64.33974632942294,25.54300834226901,-3.965849017478216,4.34047475934223,0.079,0.0019,0.0019,association,5.488090385988057,0.02063608,2.2470112,1.9717112,0.2753,1.0320824,False,14.869035,none,00152560+6420231,11.444,0.018,0.0054920688229271,0.0002839929829396,11.438507931177075,5.135614207983785,False,0.5817756579111248,0.014084454509291189,0.014212624752280245,48.993991348541975,0.08859198117712448,3.0753685145202008
Feinstein2024,TIC 347493609,434966185771329664,47.06857059078014,46.69360862772223,31.0962330693025,-31.696244543796965,1.124171142024225,0.079,0.0019,0.0019,association,7.580288233582043,0.05710623,2.9495153,2.9495153,,1.2035445,True,16.068775,none,03081640+4641375,12.158,0.025,0.0045111359154535,0.0004008549760176,12.153488864084546,6.551917462082711,False,0.3547876728128499,0.009030272122059257,0.009131529820259221,168.2652385201293,0.006680947009086148,22.526405039436085
Feinstein2024,TIC 117751168,436438672361949312,49.53581971177055,49.31518704681313,22.45084655133872,-23.972593516409823,0.2315388965268205,0.079,0.0019,0.0019,association,5.559262850713017,0.023307594,2.0718937,2.0718937,,1.012738,False,14.39319,none,03180855+4918551,11.093,0.017,0.0191558429429253,0.0009840879107234,11.073844157057074,4.798930200316505,False,0.630995818860552,0.015250174193027655,0.01543383063996473,40.581265699911775,0.005705561237024794,2.185613837271544
Feinstein2024,TIC 117615681,436513988907722624,48.94471260324525,49.80248102112297,24.30123697964807,-24.76861670371977,7.822432065866202,0.079,0.0019,0.0019,association,5.758578586574885,0.018539788,1.8168135,1.5387135,0.2781,1.0871106,False,13.865526,none,03154668+4948094,10.799,0.02,0.0193034790394524,0.0009905514167589,10.779696520960547,4.581273010830442,False,0.6621734254742997,0.015917635322199808,0.016091038877958153,37.53476813936844,0.20840496567931704,1.8693838273321035
Feinstein2024,TIC 428118460,437776125175852032,42.42127684059465,48.11572063608509,32.690801366585575,-29.327155638795382,1.5585674919184649,0.079,0.0019,0.0019,association,7.62870055221189,0.036368385,2.8167963,2.4346963,0.3821,1.07768,False,15.604571,none,02494105+4806569,11.789,0.025,0.0031711660139835,0.0001967943809005,11.785828833986017,6.198081673783134,False,0.41143156347005927,0.010043740221023945,0.010230342003056725,101.52706508082821,0.015351251320794615,7.4751844208431635
Feinstein2024,TIC 301641485,438419648715329408,39.803733099974025,48.500826989650086,23.131642596182832,-19.47227299935949,3.2458245403227792,0.079,0.0019,0.0019,association,5.080105133323994,0.047224045,2.6029186,2.2111186000000003,0.3918,1.049061,False,15.810677,none,02391285+4830034,12.148,0.023,0.009248295248238,0.0004760635205901,12.138751704751762,5.668115205492239,False,0.4983946870815706,0.012247725316648361,0.012413375663286985,69.74191647842909,0.04654051256716899,5.105066411480368
Feinstein2024,TIC 410731841,441396920047753984,52.16660180053229,48.7714771538526,22.27045775292224,-26.571135364898705,3.570329205443531,0.079,0.0019,0.0019,association,5.868044662957845,0.041899778,2.7635517,2.3442517,0.4193,1.0265573,False,15.987871,none,03283995+4846177,12.213,0.027,0.0153608843164648,0.0007893068019845,12.197639115683534,6.040106169149102,False,0.43736218570919627,0.010931666643366367,0.01103503872725653,80.27002296516365,0.04447898572288956,5.867972678635047
Feinstein2024,TIC 117868990,442826044645857408,49.8860008554888,51.52700045687619,24.62864280551468,-24.974298418405382,8.685613715988278,0.079,0.0019,0.0019,association,5.890358488620496,0.021429304,2.0914888,1.7581888,0.3333,1.0412495,False,14.418515,none,03193259+5131376,11.143,0.02,0.0212341004514838,0.0010947484405435,11.121765899548517,4.972474533833733,False,0.6058611567200578,0.014764932011415488,0.014920719520455483,43.03728125764007,0.2018160409341933,2.4405511246965563
