source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days,log_prot,log_age_myr,log_mass_msun,log_tau_ce,log_tau_ce_err,log_mass_err_lo,log_mass_err_hi,log_age_err_lo,log_age_err_hi,cluster_name,p16,p50,p84,inferred_age_gyr,residual_dex,fold
MOCADB,Gaia DR3 1938229577165694976,1938229577165694976,350.4872039,46.2920502,,,3.0576164332660296,0.156,0.056,0.13,association,1.5901410484789118,0.1347,2.3429852,1.9206852,0.4223,1.0488045,False,18.289057,,23215693+4617314,14.736,0.108,0.028889227009959,0.0014978782532273,14.707110772990042,5.714289016791058,False,0.4902147492554169,0.0371497901620438,0.0354891783451557,71.1529557534406,0.0429724443754844,5.207315634307289,0.4853830038480313,2.1931245983544616,-0.30961362612376897,1.8521929457519466,0.7166139026389085,-1.430043634978072,-1.4499040554367326,1.7481880270062005,2.113943352306837,MOCADB,0.726307843273058,1.835312444959287,2.6547897101269196,0.06844038516263183,-0.3578121533951746,3
MOCADB,Gaia DR3 951477230503004416,951477230503004416,102.2151692,41.0362353,,,6.27,0.631,0.0112316998134464,0.0114352453653266,association,2.107883459575406,0.2698,2.7624588,,,1.0346065,False,19.097158,,06485162+4102107,15.169,0.137,0.0172836321397565,0.0013067402279675,15.151716367860244,6.770949347758156,False,0.3210070004030914,0.0458074777472303,0.0458252448574633,212.35323859891537,0.0295262744348464,39.256283050368985,0.7972675408307164,2.8000293592441343,-0.4934854965568623,2.3270588888016817,1.5939091763864055,-1.3390636207019078,-1.3388952057992196,1.0504454876715983,1.0582454876715954,MOCADB,1.0860266338041031,2.7828143163153927,3.3077606476441184,0.6064769734116818,-0.017215042928741653,3
MOCADB,2MASS J07464191-5841033,5294386192709824768,116.6741919,-58.6836098,,,0.901,0.2,0.05,0.05,association,30.300297133630515,0.016,3.029848,3.029448,0.0004,1.3796098,True,13.640042,,07464191-5841033,9.664,0.019,0.0,0.0,9.664,7.0712344367134055,False,0.2792510271132901,0.0065945450234167,0.0066637423473456,230.4692729035323,0.0039094148588611,46.82517157935325,-0.04527520902093701,2.3010299956639813,-0.5540052208307461,2.3626130316867084,1.6704793774157705,-2.1808151623064935,-2.176281803211303,1.6989700043360187,1.6989700043360187,MOCADB,0.4920754632981988,1.572952473639503,2.6122876579445578,0.03740696502850646,-0.7280775220244782,3
MOCADB,Gaia DR3 6835059883122761344,6835059883122761344,321.43763,-17.4280099,,,0.9938146528143588,0.135,0.065,0.1,association,3.476641772340532,0.1321,2.8642063,,,0.9832034,False,17.867847,,21254502-1725408,13.968,0.059,0.0032783377965417,0.0001690869890757,13.96472166220346,6.670521382069758,False,0.3364456757193503,0.0167963918873639,0.0171094754889345,192.20383747678295,0.0051706285673635,31.610279099991757,-0.002694604300581227,2.130333768495006,-0.4730850492406591,2.283762054395762,1.4998283304188649,-1.77478400111351,-1.7667633040622328,1.8129133566428555,2.0,MOCADB,0.3938284139838877,1.3334468885016155,2.556715162521594,0.021549980846656342,-0.7968868799933906,3
MOCADB,Gaia DR2 5814622284065448064,5814622284065448064,254.621865,-67.329582,,,1.761240005493164,0.1023,0.0205,0.0205,association,3.4872646900477444,0.0382,2.1449785,1.8306785,0.3143,1.0325767,False,16.114351,,16582924-6719464,12.867,0.033,0.0136183254642937,0.0006986164749192,12.853381674535708,5.565806236572527,False,0.514846172651708,0.0133609823678269,0.0135821924225618,66.90403521758039,0.0263248696400058,4.899422841853651,0.24581854163395855,2.00987563371216,-0.2883225114400575,1.8254523123848407,0.6901449226078207,-1.8741616091327955,-1.8670301210593179,1.3117538610557542,1.3117538610557542,MOCADB,0.2904240937884422,1.0221797429835744,2.1761221702883677,0.010523973430894952,-0.9876958907285858,3
MOCADB,Gaia DR3 3410152802654577152,3410152802654577152,70.935892,19.5238726,,,0.3716202399587782,0.389,0.0792940126876629,0.0995956558773063,association,1.8898822000865332,0.1544,2.5497646,1.9099646,0.6398,0.9824373,False,18.129763,,04434461+1931259,14.089,0.051,0.0958767145946511,0.0050519039143752,13.99312328540535,5.375296958528715,False,0.5444457688413162,0.0322930673256363,0.0304958050959406,60.022307148022584,0.0061913688029737,4.2539264408670165,-0.42990064057981,2.5899496013257077,-0.26404537296224323,1.7783126848975264,0.628789975787266,-1.4908907019840507,-1.5157598966853927,1.8992403959572415,1.9982403959572421,MOCADB,0.8959905182768699,1.8486997577542048,2.990010073218973,0.07058294221540211,-0.7412498435715029,3
MOCADB,Gaia DR2 5814266695131835136,5814266695131835136,255.757748,-68.310867,,,2.4853100776672363,0.1023,0.0205,0.0205,association,3.4486113860654166,0.0698,2.6901455,2.3507454,0.3394,0.9903192,False,17.33854,,17030185-6818391,13.606,0.057,0.0090770539675359,0.0004665535972518,13.596922946032464,6.285144234778253,False,0.3971493761581707,0.014365157159431,0.0146876401716211,116.90041150334508,0.0212600626952978,8.64061090549327,0.39538058084351896,2.00987563371216,-0.4010461153033774,2.067816039932734,0.936544448903134,-1.8426896183249886,-1.833047975671264,1.3117538610557542,1.3117538610557542,MOCADB,0.5647802358802609,1.5369302187949205,2.6463070006722633,0.03442946060383553,-0.4729454149172396,3
MOCADB,Gaia DR2 5589664369679329792,5589664369679329792,111.20349615809032,-35.92172133657069,,,5.8,0.0337,0.0009,0.0009,association,3.502563222993595,0.0388,2.716506,2.336506,0.38,1.0259196,False,16.592596,,07244885-3555177,12.533,0.044,0.0070030962106657,0.0009282712065039,12.525996903789334,5.247926820080089,False,0.5646338746427373,0.0152188037469694,0.0155558479455161,54.0581638912599,0.107291842387894,3.616559100565008,0.7634279935629372,1.5276299008713388,-0.24823307034583791,1.7328612906147216,0.5582955665821846,-1.8176194833412627,-1.8081063106226782,-0.045757490560675115,-0.045757490560675115,MOCADB,1.2979062128714858,2.0345950754837605,2.634777776277622,0.10829167606578353,0.5069651746124217,3
MOCADB,Gaia DR3 604912608537595008,604912608537595008,132.6302926,11.722492,,,22.4,4.168699999999999,0.401656438893842,0.4444825682676973,association,0.9673962688068342,0.1537,2.0904446,1.9549446,0.1355,0.98391604,False,18.302322,,08503128+1143208,14.933,0.094,0.0079150084945809,0.0004396884141912,14.925084991505418,4.853107031536425,False,0.6222956835812935,0.0585148043714396,0.0504789123240384,41.43139320434218,0.5406528303193142,2.2738580665325943,1.3502480183341627,3.620000642300068,-0.20600321139432937,1.617329537468816,0.3567633526800121,-1.2327342425772647,-1.2968900114651367,2.6038547334646194,2.647854733464619,MOCADB,3.360146824750349,3.46999318459363,3.585968617648172,2.951162913546649,-0.15000745770643809,3
MOCADB,Gaia DR3 6841547933734295424,6841547933734295424,325.0180183,-15.3058124,,,0.3533255763345568,0.135,0.065,0.1,association,3.326252688702477,0.0453,2.075509,1.830409,0.2451,0.94723594,False,15.981119,,21400431-1518209,12.781,0.03,0.0048931787416714,0.0002511701452971,12.77610682125833,5.385883014317756,False,0.5433567018537088,0.0141239153110619,0.0143006428868573,60.34404865236148,0.0058551851296893,4.288309841475766,-0.45182492396077284,2.130333768495006,-0.26491497190857427,1.7806344448577551,0.6322861567177898,-1.850044895190558,-1.8446444383434182,1.8129133566428555,2.0,MOCADB,1.0704185355528335,1.9111018984139492,3.044174536116334,0.08148954603257186,-0.21923187008105693,3
MOCADB,2MASS J15385751-8745503,5765079905016309888,234.7198014,-87.7647499,,,0.2657,0.2,0.05,0.05,association,40.60589165110358,0.0611,3.4433775,,,0.95142794,False,14.575701,,15385751-8745503,10.31,0.021,0.0,0.0,10.31,8.35294525728602,False,0.1506009092650565,0.0036070466501219,0.0036609140639647,214.59,0.0012381751246563,30.9,-0.5756084455897225,2.3010299956639813,-0.8221724060396706,2.3316094797640927,1.4899584794248346,-2.442848240892197,-2.436410465596471,1.6989700043360187,1.6989700043360187,MOCADB,1.3116777725916597,2.1283477431439115,2.643670648293609,0.13438405545859763,-0.17268225252006975,3
MOCADB,Gaia DR3 3208297895318194432,3208297895318194432,79.271461,-6.598636,,,0.3409687879781557,3.8,1.2,4.1,association,1.2225739555590582,0.1286,2.0580654,1.7885654,0.2695,0.9936627,False,18.02307,,05170515-0635550,14.838,0.126,0.0272206765370613,0.00141800738746,14.810779323462938,5.247155022440143,False,0.5638184107624937,0.043759238802649,0.0405700350159706,54.299075220451854,0.0062794584731662,3.6423044602126984,-0.46728537417246946,3.57978359661681,-0.24886074690710408,1.7347924330865483,0.5613762456499556,-1.3589302412149464,-1.3917946174562297,3.0791812460476247,3.6127838567197355,MOCADB,1.0262739065933801,1.8599705645205609,2.52331780081265,0.07243868611385247,-1.7198130320962493,3
MOCADB,Gaia eDR3 66586218019920640,66586218019920640,58.4926686,24.4190188,,,27.515,0.1274,0.01,0.0063,association,6.140993012717967,0.2719,3.6047764,,,1.0533856,False,19.012539,,03535821+2425090,14.261,0.065,0.0097366625686577,0.00112569142633,14.25126333743134,8.192456353620997,False,0.1620250275175347,0.009131440600581,0.009652737479072,214.59,0.1282212591453469,30.9,1.4395695171471754,2.1051694279993316,-0.7904178961163638,2.3316094797640927,1.4899584794248346,-2.0394607015972834,-2.01534950495055,1.0,0.7993405494535817,MOCADB,3.0614974302741618,3.2846300320669206,3.4770669284141182,1.9258835873723343,1.179460604067589,3
MOCADB,Gaia DR3 505950828265196416,505950828265196416,25.1586665,58.0956712,,,0.730520297149907,0.14,0.053,0.09,association,1.1739371842013984,0.1591,2.2168846,1.8599846,0.3569,1.007871,False,18.450998,,01403807+5805447,14.94,0.137,0.049727172063584,0.0040927756566286,14.890272827936416,5.238497123037115,False,0.5651289134121495,0.0546301348433487,0.0482322090991481,53.91191529481068,0.0135502568060352,3.6009300194164213,-0.13636771290183716,2.146128035678238,-0.24785247253908294,1.7316847610104553,0.5564146813611193,-1.2625677275167193,-1.3166628463592955,1.724275869600789,1.954242509439325,MOCADB,0.6484077974028492,1.790356571294057,3.1102364202463404,0.06171014562791316,-0.35577146438418117,3
MOCADB,Gaia DR3 3426281160765790208,3426281160765790208,92.136892,24.359997,,,1.63924,0.95,0.67,3.5,association,1.2286221354833238,0.1811,2.0766182,1.9094182,0.1672,0.99790895,False,18.503366,,06083285+2421359,14.922,0.093,0.0412339157603149,0.0087589823074632,14.880766084239683,5.3278577618648075,False,0.5514934182547955,0.0573717611359875,0.0494633318651926,57.940230149869,0.0282919138526015,4.031422080812886,0.21464254298179478,2.9777236052888476,-0.25845966623862343,1.7629802159733627,0.6054582701877037,-1.2413018184128033,-1.3057166327799994,2.8260748027008264,3.5440680443502757,MOCADB,0.34158328688468087,1.0452303622251078,2.211384946739098,0.011097633093983945,-1.9324932430637398,3
